Gene	S1	S2	S3	S4	S5	S6	S7	S8
ACP6	0.0916520428283395	0.5185456156955779	0.7043954111739003	0.5261819369327095	0.4290280526264076	0.15363405651185716	0.3218226862261175	0.7018360367560664
ACP7	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.5864002184309005	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACRBP	-0.5954371570952625	-0.5969002605138214	-0.4654180181397589	-0.6653908487902997	-0.6308779003700814	-0.4440748385681512	-0.5605240649193132	-0.6717911417961083
ACSF2	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6045556100374379	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACSF3	-0.4097361458159322	-0.5969002605138214	-0.3925980319792294	-0.3495334452547298	-0.5280128590996647	-0.5618465837073322	-0.2583467934883786	-0.42641421460843704
ACSL1	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.5678086126096411	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACSL3	-0.5954371570952625	-0.5969002605138214	-0.2957468558883435	-0.5337489878222517	-0.584907147223049	-0.4539666331209845	-0.39527305805524426	-0.519310184061936
ACSL4	-0.5954371570952625	-0.45180336660926507	-0.6134450475771975	-0.47627104789957103	-0.4677478692295896	-0.6277553246066079	-0.6407628351460615	-0.5532874998246354
ACSL5	0.6503759463434583	-0.14215557565888948	0.1636641693089618	0.6475794091610827	-0.15455556212307664	0.33337126706099107	0.08115511872439059	0.7529232406793916
ACSM1	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.5867328433764596	-0.6407628351460615	-0.6062392638130826
ACSM3	-0.5954371570952625	-0.5969002605138214	-0.4586808726119321	-0.5546736601722375	-0.6308779003700814	-0.6277553246066079	-0.5359829152171629	-0.5264833272224105
ACSM6	-0.5954371570952625	-0.5969002605138214	-0.5947593706551169	-0.635883314199255	-0.6013781481846594	-0.6277553246066079	-0.6193844678955878	-0.6717911417961083
